1.545739640054779110e-02 1.482881798114497884e-01 9.210510610336182513e-02 -3.978875000000000000e+04
1.920711985982983053e-02 1.471399457219836893e-01 9.191516204560373771e-02 -3.183100000000000000e+04
2.294938160766462135e-02 1.459842927651754385e-01 9.171322312962021384e-02 -2.387325000000000000e+04
2.668764760106737480e-02 1.448183738234678497e-01 9.149856202580540498e-02 -1.591550000000000000e+04
3.042648320578540330e-02 1.436378160686714311e-01 9.126972417314049846e-02 -7.957750000000000000e+03
3.417250100632712728e-02 1.424354806509171290e-01 9.102397266992953706e-02 0.000000000000000000e+00
3.793648823410086801e-02 1.411986243061756630e-01 9.075601479257931758e-02 7.957750000000000000e+03
4.173937741043801108e-02 1.399008809750327542e-01 9.045435869157580910e-02 1.591550000000000000e+04
4.563688401200823724e-02 1.384690758642098674e-01 9.008627076268123368e-02 2.387325000000000000e+04
7.217113770236913139e-02 1.457289971516136096e-01 1.303746719656350694e-01 3.183100000000000000e+04
7.595455656071260775e-02 1.450448762821966442e-01 1.307668693910522539e-01 3.978875000000000000e+04
